id,accommodates,bedrooms,beds,description,number_of_reviews,num_host_response_rate,num_price,cat_price
43269141,2,1.0,1.0,"Welcome to the Sofi Stadium House, Room # 4 of the 5 chic bedrooms we offer. <br />This private room and bathroom with keyless entry pad, is located in a boutique hotel style home, at fraction of the cost of a hotel room.<br />WALK TO SOFI STADIUM OR FORUM, SAVE $60-100 on PARKING. <br />Each room is cleaned with CDC/Covid approved methods, after each guest check out.  <br />To view all of our rooms click on my Airbnb profile.<br /><br /><b>The space</b><br />Location and style,  get ready to experience the best that Los Angeles has to offer. <br />Designed by an HGTV star, Sofi Stadium House was gutted and remodeled by one of top builders in Los Angeles.   With its boutique hotel feel, you'll find the house spacious, comfortable and well designed.  Enjoy fresh fruit from the citrus orchard, a glass of wine on either of the European style patios, or take a quick walk to Sofi Stadium or the Fabulous Forum.  You're very close to LAX,  in the center of the city,  making it easy to get eve",34,100.0,115.0,low
41416518,2,1.0,1.0,"Discover the best of Los Angeles, with this one-bedroom Mid-Wilshire apartment. It’ll be easy to simply show up and start living in this fashionably Blueground furnished apartment with its fully-equipped kitchen, exquisite living room, and our dedicated, on-the-ground support. (#LAX247)<br /><br /><b>The space</b><br />As with any Blueground apartment, you’ll find a thoughtfully designed space complete with beautiful furniture and a fully-equipped kitchen in this one-bedroom property. And, thanks to our superior quality mattresses, luxury linens, and towels, you can relax knowing you’ll always feel comfortably at home. When you’re ready for some fun, you can take in the Los Angeles vibes or bring the entertainment to you with the premium wireless speaker or smart TV.  This apartment also offers in-floor laundry.<br /><br /><br />Amenities<br /><br />Building amenities unique to this one-bedroom apartment include an on-site:<br />  <br />- 24/7 Security<br />- In-Floor Laundry<br />- Pe",0,100.0,140.0,low
24918413,4,2.0,2.0,"Experience Summer in this  Beachside California Craftsman Home w/ huge private yard and ocean views!  This Two story home exudes warmth and charm and is steps to the sand!  All bedrooms upstairs. Master bedroom has balcony with ocean view. There is a fully equipped office with ocean views. Eat in cooks kitchen as well as a tv/den with all the latest technology. Childrens toys, beach chairs and towels included. Weekly housekeeping included in rental price. Perfect Summer Beach Rental.<br /><br /><b>The space</b><br />Experience Summer in this  Beachside California Craftsman Home w/ huge private yard and ocean views!  This Two story home exudes warmth and charm and is steps to the sand!  All bedrooms upstairs. Master bedroom has balcony <br />with ocean view to enjoy your morning coffee or evening cocktail.  There is a fully equipped office with ocean views. Eat in cooks kitchen as well as a tv/den with all the latest technology. Childrens toys, beach chairs and towels included. Weekly h",1,100.0,425.0,high
45532645,4,2.0,2.0,"A spacious, modern & clean 2BD/2BA set inside a charming & completely renovated building in DTLA. Close to EVERYTHING! It has all the essentials you'll need to make your visit in LA a comfy one! Within walking distance or a short drive to the Staples Center, LA Convention Center, and all of the best restaurants, bars, shops and galleries. Hands down, the best rooftop view of the skyline in DTLA! This building & loft is truly a gem! 2 bedrooms 2 full bathrooms Washer & Dryer in the unit Fresh clean towels and bath essentials provided. 1 45' Smart TV Kitchen essentials include coffee maker, appliances, dishes and pots & pans. Guests can access Rooftop from PH. There's a fire pit, BBQ grill and built in Bose speakers for your enjoyment. *Please inquire if parking is needed and we will accomodate 1 parking space for $15/night . *ONCE YOUR RESERVATION AND PARKING IS PAID, ALL DETAILS WILL BE PROVIDED IN CHECK-IN INSTRUCTIONS* *PETS* We welcome your furry guests for a small $25 fee. Inquire ",89,97.0,129.0,low
2478188,4,1.0,2.0,"A cozy home away from home, this private Los Feliz (1 bedroom, 1 bath) getaway guest house (with stunning hillside views and sunsets) looks and feels like you're in the woods. Perfect place to relax, unwind, and chillax.<br /><br /><b>The space</b><br />A cozy home away from home, this private Los Feliz (1 bedroom, 1 bath) getaway guest house (with stunning hillside views and sunsets) looks and feels like you're in the woods. <br /><br />Located in the hippest part of Los Angeles, it's 5-10 minutes away from an assortment of distinguished attractions. From the Greek Theater, the Hollywood sign and Griffith Observatory (which you can see from the private deck-terrace), to popular movie theaters, restaurants and bars of Silver Lake's Sunset Junction, this newly renovated 800-square foot gem offers you privacy, comfort, and solace. <br /><br />Nestled in the tranquil Franklin Hills of Los Feliz, this hideaway (which occupies the bottom part of a two-story duplex house) is perfect for a co",177,100.0,160.0,high
45596888,5,4.0,4.0,"Pristine Cliff May designed architectural gem, indoor-outdoor Brentwood canyon living. Rustic country landscape approx. 5 minutes from the beaches of Santa Monica.  This 4 bedroom, 3 bath, contemporary ranch house has a gated driveway, complete privacy, and charming outdoor patios on all sides.  36 ft. pool with large attached spa. One of L.A.'s most beautiful streets for walking features a gorgeous equestrian facility and trailhead to a serene canyon hike.<br /><br /><b>The space</b><br />Radiant floor heating warms the house on chilly mornings. Walls of glass look out on mature trees as you live as one with nature. The expansive center courtyard is perfect for outdoor eating or lounging quietly poolside. Master suite features separate sitting room, walk-in closet and gorgeous oversized bath overlooking a private, enclosed garden. Chef's kitchen, exercise equipment, plentiful drawers and closets, pristine linens, towels for pool and beach, high speed wifi, Netflix/HBO/Amazon, children",7,100.0,1100.0,high
41111666,2,1.0,1.0,Live in the most sought after place in Hollywood; Beachwood Canyon. Old Hollywood meets contemporary charm in your place you can call home.  Hardwood floors throughout the unit. Step outside your front door for a perfect photo opportunity to snap photos in from of the Hollywood sign. Then take a stroll to the Beachwood cafe and market where you can rub elbows with the local celebrities. This place is not suitable for people who smoke as smoking is prohibited inside and outside .<br /><br /><b>The space</b><br />There is a shared laundry room for the building. This is a quiet building so no music or parties. Respect the neighbors. Please don't book if you are a smoker. Smoking is NOT allowed inside or outside.,3,93.0,100.0,low
48687873,4,2.0,2.0,"Show up and start living from day one in Los Angeles with this bright two-bedroom Blueground apartment. You’ll love coming home to this thoughtfully furnished, beautifully designed, and fully-equipped Hancock Park home with stunning balcony views over the city. (#LAX406)<br /><br /><b>The space</b><br />As with any Blueground apartment, you’ll find a thoughtfully designed space complete with beautiful furniture and a fully-equipped kitchen in this two-bedroom property. And, thanks to our superior quality mattresses, luxury linens, and towels, you can relax knowing you’ll always feel comfortably at home. When you’re ready for some fun, you can take in the Los Angeles vibes or bring the entertainment to you with the premium wireless speaker or smart TV. <br /><br /><br />Amenities<br /><br />Building amenities unique to this two-bedroom apartment include an on-site:<br />  <br />- In-Building Laundry<br />- Pet Friendly<br />- Swimming Pool<br />- Gym<br />- Indoor Parking<br />- Courtya",1,100.0,190.0,high
39926990,2,1.0,1.0,"Guest room with Queen sized adjustable bed and ez chair.  Full length mirror, makeup mirror, big closet & bathrobes for guests. Bottled water provided and mints on the pillows!<br /><br /><b>Other things to note</b><br />$200 refundable pet deposit",29,100.0,135.0,low
51694302,4,2.0,2.0,"Come spend some time off in this beautiful and spacious home right in the middle of Koreatown, LA. This cozy home has all of the necessities that you need on your trip so that you would feel right at home. It is fully equipped with a full modern kitchen, AC units in the bedrooms, TV for your entertainment, washer/dryer inside the home, a gym that is accessible on the first floor, as well as a shared space outside where you can host small bbq's for you and your loved ones!",0,100.0,197.0,high
